Sample ID,Species (CV),Species NCBI Taxonomy ID,Donor id,Genotype,Modality  (CV),Technique  (CV),Anatomical Structure (CV),Subspecimen Type (CV),Total Processed Subspecimens,Organization (CV),Investigator,Grant Number (CV),Project (CV),R24 Name (CV),R24 link,Comments,Metadata Submission,Wrangler Notes
191176,mouse,NCBI:txid10090,,,cell morphology,fMOST,,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,/bil/proj/u19huang/mouseID_19032511-191176,,,
191183,mouse,NCBI:txid10090,191183,Fezf2-CreER,cell morphology,fMOST,MOs,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,/bil/proj/u19huang/mouseID_19032514-191183,,,
191182,mouse,NCBI:txid10090,191182,Fezf2-CreER,cell morphology,fMOST,MOs,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,/bil/proj/u19huang/mouseID_19032515-191182,,,
191180,mouse,NCBI:txid10090,191180,Fezf2-CreER,cell morphology,fMOST,SSp-ul,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,/bil/proj/u19huang/mouseID_19032516-191180,,,
191178,mouse,NCBI:txid10090,191178,Fezf2-CreER,cell morphology,fMOST,SSp-ll,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,/bil/proj/u19huang/mouseID_19032517-191178,,,
191177,mouse,NCBI:txid10090,191177,Fezf2-2A-CreER;LSL-Flpo,cell morphology,fMOST,SSp-ll,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,/bil/proj/u19huang/mouseID_19032518-191177,,,
191179,mouse,NCBI:txid10090,191179,Fezf2-CreER,cell morphology,fMOST,SSp-ll,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,/bil/proj/u19huang/mouseID_19032519-191179,,,
192869,mouse,NCBI:txid10090,192869,PlexinD1-creER,cell morphology,fMOST,MOs;MOp,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,/bil/proj/u19huang/mouseID_w19051002-192869,,,
192868,mouse,NCBI:txid10090,192868,PlexinD1-creER,cell morphology,fMOST,MOs;MOp,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,/bil/proj/u19huang/mouseID_w19051003-192868,,,
192867,mouse,NCBI:txid10090,192867,PlexinD1-creER,cell morphology,fMOST,MOs;MOp,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,/bil/proj/u19huang/mouseID_w19051004-192867,,,
192870,mouse,NCBI:txid10090,192870,PlexinD1-creER,cell morphology,fMOST,MOs;MOp,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,/bil/proj/u19huang/mouseID_w19051005-192870,,,
192865,mouse,NCBI:txid10090,192865,PlexinD1-creER,cell morphology,fMOST,MOs;MOp,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,/bil/proj/u19huang/mouseID_w19051006-192865,,,
192858,mouse,NCBI:txid10090,192858,PlexinD1-creER,cell morphology,fMOST,SSp-ll,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,/bil/proj/u19huang/mouseID_w19051007-192858,,,
192860,mouse,NCBI:txid10090,192860,PlexinD1-creER,cell morphology,fMOST,SSp-ll,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,/bil/proj/u19huang/mouseID_w19051009-192860,,,
192861,mouse,NCBI:txid10090,192861,PlexinD1-creER,cell morphology,fMOST,SSp-ll,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,/bil/proj/u19huang/mouseID_w19051010-192861,,,
192855,mouse,NCBI:txid10090,192855,PlexinD1-creER,cell morphology,fMOST,SSp-ul,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,/bil/proj/u19huang/mouseID_w19051011-192855,,,
192856,mouse,NCBI:txid10090,192856,PlexinD1-creER,cell morphology,fMOST,SSp-ul,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,/bil/proj/u19huang/mouseID_w19051012-192856,,,
192862,mouse,NCBI:txid10090,192862,PlexinD1-creER,cell morphology,fMOST,SSp-ll,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,/bil/proj/u19huang/mouseID_w19051013-192862,,,
192853,mouse,NCBI:txid10090,192853,PlexinD1-creER,cell morphology,fMOST,MOs,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,/bil/proj/u19huang/mouseID_w19051015-192853,,,
192863,mouse,NCBI:txid10090,192863,PlexinD1-creER,cell morphology,fMOST,MOs;MOp,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,/bil/proj/u19huang/mouseID_w19051017-192863,,,
192857,mouse,NCBI:txid10090,192857,PlexinD1-creER,cell morphology,fMOST,SSp-ll,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,/bil/proj/u19huang/mouseID_w19051020-192857,,,
193644,mouse,NCBI:txid10090,193644,PlexinD1-creER,cell morphology,fMOST,MOs,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,/bil/proj/u19huang/mouseID_w19082902-193644,,,
193646,mouse,NCBI:txid10090,193646,PlexinD1-creER,cell morphology,fMOST,SSp,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,/bil/proj/u19huang/mouseID_w19082904-193646,,,
193647,mouse,NCBI:txid10090,,,cell morphology,fMOST,,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,/bil/proj/u19huang/mouseID_w19082905-193647,,,
193650,mouse,NCBI:txid10090,193650,PlexinD1-creER,cell morphology,fMOST,SSp,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,/bil/proj/u19huang/mouseID_w19082908-193650,,,
193651,mouse,NCBI:txid10090,193651,PlexinD1-creER,cell morphology,fMOST,SSs,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,/bil/proj/u19huang/mouseID_w19082909-193651,,,
193663,mouse,NCBI:txid10090,193663,PlexinD1-creER,cell morphology,fMOST,MOp,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,/bil/proj/u19huang/mouseID_w19082922-193663,,,
193666,mouse,NCBI:txid10090,193666,PlexinD1-creER,cell morphology,fMOST,SSp,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,/bil/proj/u19huang/mouseID_w19082925-193666,,,
194089,mouse,NCBI:txid10090,194089,Fezf2-CreER,cell morphology,fMOST,MOp,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,/bil/proj/u19huang/mouseID_w19091704-194089,,,
194090,mouse,NCBI:txid10090,194090,Fezf2-CreER,cell morphology,fMOST,MOs,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,/bil/proj/u19huang/mouseID_w19091705-194090,,,
194091,mouse,NCBI:txid10090,194091,Fezf2-CreER,cell morphology,fMOST,MOs,brains,1,Huazhong University of Science and Technology,Qingming Luo,1U19MH114821-01,huang_fmost,BIL,/bil/proj/u19huang/mouseID_w19091706-194091,,,
