Sample ID,Species (CV),Species NCBI Taxonomy ID,Donor id,Genotype,Modality  (CV),Technique  (CV),CORRECTED Anatomical Structure,Subspecimen Type (CV),Total Processed Subspecimens,Organization (CV),Investigator,Grant Number (CV),Project (CV),R24 Name (CV),R24 link,Comments,Metadata Submission,Wrangler Notes,Prior Project,Prior Anatomical Structure (CV)
SW181026-01A,mouse,NCBI:txid10090,SW181026-01A,wt/wt,connectivity,retrograde tracing,,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro,BIL,http://download.brainimagelibrary.org/biccn/dong/retrograde/quad/,,2019Q3,merged projects,dong_retro_quad,
SW181030-03A,mouse,NCBI:txid10090,SW181030-03A,wt/wt,connectivity,retrograde tracing,,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro,BIL,http://download.brainimagelibrary.org/biccn/dong/retrograde/quad/,,2019Q3,merged projects,dong_retro_quad,
SW181031-01A,mouse,NCBI:txid10090,SW181031-01A,wt/wt,connectivity,retrograde tracing,,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro,BIL,http://download.brainimagelibrary.org/biccn/dong/retrograde/quad/,,2019Q3,merged projects,dong_retro_quad,
SW181105-01A,mouse,NCBI:txid10090,SW181105-01A,wt/wt,connectivity,retrograde tracing,MOp:SSP:SSp:MOp,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro,BIL,http://download.brainimagelibrary.org/biccn/dong/retrograde/quad/,,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved; merged projects,dong_retro_quad,MOp:SSP:SSp:MOp
SW181105-02A,mouse,NCBI:txid10090,SW181105-02A,wt/wt,connectivity,retrograde tracing,MOp:SSP:SSp:MOp,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro,BIL,http://download.brainimagelibrary.org/biccn/dong/retrograde/quad/,,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved; merged projects,dong_retro_quad,MOp:SSP:SSp:MOp
SW181105-03A,mouse,NCBI:txid10090,SW181105-03A,wt/wt,connectivity,retrograde tracing,SSp:SSp:SSp:SSp,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro,BIL,http://download.brainimagelibrary.org/biccn/dong/retrograde/quad/,,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved; merged projects,dong_retro_quad,SSp:SSp:SSp:SSp
SW181116-03A,mouse,NCBI:txid10090,SW181116-03A,wt/wt,connectivity,retrograde transsynaptic tracing,POST:SUBd:SUBd,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro,BIL,http://download.brainimagelibrary.org/biccn/dong/retrograde/quad/,,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved; merged projects,dong_retro_quad,POST:SUBdd:SUBdv
SW181130-01A,mouse,NCBI:txid10090,SW181130-01A,wt/wt,connectivity,retrograde tracing,MOp:ACB:SSs:CEAc,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro,BIL,http://download.brainimagelibrary.org/biccn/dong/retrograde/quad/,,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved; merged projects,dong_retro_quad,MOp:ACB:SSs:CEAc
SW181130-02A,mouse,NCBI:txid10090,SW181130-02A,wt/wt,connectivity,retrograde tracing,PBmm:LAV:CM:fail,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro,BIL,http://download.brainimagelibrary.org/biccn/dong/retrograde/quad/,,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved; merged projects,dong_retro_quad,PBmm:LAV:CM:fail
SW190115-03A,mouse,NCBI:txid10090,SW190115-03A,wt/wt,connectivity,retrograde tracing,fail;SUT;PBmm;PBle;PBld;NLLd,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro,BIL,http://download.brainimagelibrary.org/biccn/dong/retrograde/quad/,,2020Q1,merged projects,dong_retro_quad,
