Sample ID,Species (CV),Species NCBI Taxonomy ID,Donor id,Genotype,Modality  (CV),Technique  (CV),CORRECTED Anatomical Structure,Subspecimen Type (CV),Total Processed Subspecimens,Organization (CV),Investigator,Grant Number (CV),Project (CV),R24 Name (CV),R24 link,Comments,Metadata Submission,Wrangler Notes,Prior Project,Prior Anatomical Structure (CV),Prior Sample ID
mouseID_404421_182720,mouse,NCBI:txid10090,404421,Dbh-Cre_KH212/wt;Ai166(TIT2L-MORF-ICL-tTA2)/wt,cell morphology,fMOST,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_fmost,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/mouseID_404421-182720,/bil/lz/waynew/fmost/mouseID_404421-182720,2019Q3,,,,AIBS_745593205
mouseID_405426_182724,mouse,NCBI:txid10090,405426,Fezf2-CreER/wt;Ai166(TIT2L-MORF-ICL-tTA2)/wt,cell morphology,fMOST,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_fmost,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/mouseID_405426-182724,405426-182724,2019Q3,Fezf2-CreER;Ai166-405426,,,AIBS_746222364
mouseID_405429_182725,mouse,NCBI:txid10090,405429,Fezf2-CreER/wt;Ai166(TIT2L-MORF-ICL-tTA2)/wt,cell morphology,fMOST,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_fmost,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/mouseID_405429-182725,405429-182725,2019Q3,Fezf2-CreER;Ai166-405429; removed duplicate,,,AIBS_746222384
mouseID_411732_182718,mouse,NCBI:txid10090,411732,Cux2-CreERT2/wt;Ai166(TIT2L-MORF-ICL-tTA2)/wt,cell morphology,fMOST,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_fmost,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/mouseID_411732-182718,411732-182718,2019Q3,Cux2-CreERT2;Ai166-411732,,,AIBS_750729613
mouseID_417570_182721,mouse,NCBI:txid10090,417570,Dbh-Cre_KH212/wt;Ai166(TIT2L-MORF-ICL-tTA2)/wt,cell morphology,fMOST,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_fmost,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/mouseID_417570-182721,417570-182721,2019Q4,,,,AIBS_762495316
mouseID_417571_182722,mouse,NCBI:txid10090,417571,Dbh-Cre_KH212/wt;Ai166(TIT2L-MORF-ICL-tTA2)/wt,cell morphology,fMOST,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_fmost,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/mouseID_417571-182722,417571-182722,2019Q3,Dbh-Cre_KH212;Ai166-417571,,,AIBS_762497643
mouseID_418245_182727,mouse,NCBI:txid10090,418245,Nos1-CreERT2/wt;Sst-IRES-FlpO/wt;Ai188(TA2T2L-EGFP-ICF-tTA2)-hyg/wt,cell morphology,fMOST,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_fmost,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/mouseID_418245-182727,/bil/lz/waynew/fmost/mouseID_418245-182727,2019Q3,,,,AIBS_763135456
mouseID_420489_191801,mouse,NCBI:txid10090,420489,Cux2-CreERT2/wt;Ai166(TIT2L-MORF-ICL-tTA2)/wt,cell morphology,fMOST,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_fmost,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/mouseID_420489-191801,420489-191801,2019Q3,Cux2-CreERT2;Ai166-420489,,,AIBS_782122132
mouseID_423019_191803,mouse,NCBI:txid10090,423019,Cux2-CreERT2/wt;Ai166(TIT2L-MORF-ICL-tTA2)/wt ,cell morphology,fMOST,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_fmost,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/mouseID_423019-191803,423019-191803,2019Q4,,,,AIBS_782124668
mouseID_426124_191808,mouse,NCBI:txid10090,426124,Nxph4-T2A-CreERT2/wt;Ai166(TIT2L-MORF-ICL-tTA2)/wt ,cell morphology,fMOST,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_fmost,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/mouseID_426124-191808,426124-191808,2019Q4,,,,AIBS_998015627
mouseID_431038_191804,mouse,NCBI:txid10090,431038,Dbh-Cre_KH212/wt;Ai166(TIT2L-MORF-ICL-tTA2)/wt,cell morphology,fMOST,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_fmost,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/mouseID_431038-191804,431038-191804,2019Q3,Dbh-Cre_KH212;Ai166-431038,,,AIBS_793176794
mouseID_439168_191807,mouse,NCBI:txid10090,439168,Fezf2-CreER/wt;Ai166(TIT2L-MORF-ICL-tTA2)/wt,cell morphology,fMOST,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_fmost,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/mouseID_439168-191807,439168-191807,2019Q4,,,,AIBS_998014887
mouseID_443055_191805,mouse,NCBI:txid10090,443055,Dbh-Cre_KH212/wt;Ai166(TIT2L-MORF-ICL-tTA2)/wt ,cell morphology,fMOST,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_fmost,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/mouseID_443055-191805,443055-191805,2019Q4,,,,AIBS_998014666
mouseID_486478_196478,mouse,NCBI:txid10090,486478,Dbh-Cre_KH212/wt;Ai166(TIT2L-MORF-ICL-tTA2)/wt ,cell morphology,fMOST,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,zeng_fmost,BIL,https://download.brainimagelibrary.org/biccn/zeng/luo/fmost/mouseID_486478-196478,486478-196478/,2020Q4,Add entry? Published imaging,,,
